POS_X,POS_Y,POS_Z
38.9978,-402.343,-10.1426
40.3873,-402.626,-10.0682
41.9694,-402.709,-9.9851
43.2893,-402.613,-9.91572
44.7806,-402.479,-9.83723
46.2314,-402.22,-9.75994
47.6682,-401.914,-9.68294
49.1367,-401.583,-9.60402
50.5726,-401.148,-9.52536
51.9544,-400.725,-9.44962
53.3668,-400.296,-9.37224
54.7769,-400.0,-9.29668
56.3447,-399.723,-9.21323
57.7896,-399.468,-9.13632
59.1953,-399.22,-9.0615
60.6132,-398.889,-8.98514
61.9799,-398.523,-8.91097
63.3829,-398.147,-8.83483
64.8046,-397.728,-8.75714
66.1427,-397.319,-8.68379
67.5409,-396.891,-8.60714
69.0714,-396.423,-8.52325
70.6261,-395.947,-8.43803
71.8807,-395.564,-8.36926
73.3094,-395.127,-8.29094
74.7341,-394.691,-8.21285
76.1397,-394.261,-8.1358
77.633,-393.804,-8.05394
79.1293,-393.346,-7.97192
80.5854,-392.901,-7.8921
82.0483,-392.453,-7.81192
83.4682,-392.019,-7.73408
84.8986,-391.582,-7.65568
86.328,-391.144,-7.57732
87.755,-390.708,-7.4991
89.2348,-390.255,-7.41799
90.6443,-389.824,-7.34073
92.0557,-389.392,-7.26336
93.4786,-388.957,-7.18536
94.8904,-388.525,-7.10797
96.344,-388.081,-7.0283
97.8129,-387.631,-6.94777
99.2928,-387.178,-6.86666
100.736,-386.737,-6.78756
102.163,-386.3,-6.70933
103.714,-385.826,-6.62432
105.174,-385.379,-6.54426
106.611,-384.94,-6.46551
107.986,-384.519,-6.39016
109.458,-384.069,-6.30945
110.883,-383.633,-6.23134
112.29,-383.202,-6.15421
113.735,-382.76,-6.07498
115.23,-382.303,-5.99306
116.664,-381.864,-5.91443
118.089,-381.428,-5.83633
119.699,-380.936,-5.74808
120.932,-380.509,-5.67166
122.412,-380.106,-5.59935
123.843,-379.718,-5.52157
125.336,-379.4,-5.4416
126.921,-379.063,-5.35665
128.568,-378.713,-5.26839
130.061,-378.395,-5.18838
131.657,-378.055,-5.10282
133.265,-377.713,-5.01663
134.732,-377.401,-4.93803
136.069,-377.117,-4.86638
137.669,-376.776,-4.78064
139.153,-376.509,-4.70157
140.627,-376.439,-4.62418
142.056,-376.438,-4.54924
143.481,-376.438,-4.47453
144.878,-376.438,-4.40133
146.317,-376.503,-4.32578
147.716,-376.65,-4.25203
149.137,-376.862,-4.17668
150.6,-377.303,-4.0965
152.028,-377.822,-4.01687
153.53,-378.372,-3.93305
154.893,-379.035,-3.85352
156.094,-379.872,-3.77667
157.206,-380.773,-3.70167
158.333,-381.685,-3.62567
159.45,-382.62,-3.54928
160.538,-383.599,-3.47257
161.625,-384.578,-3.39591
162.756,-385.595,-3.31615
163.874,-386.601,-3.23733
164.967,-387.585,-3.16026
166.109,-388.489,-3.08384
167.273,-389.334,-3.00844
168.498,-390.224,-2.92911
169.646,-391.058,-2.85472
170.844,-391.928,-2.77707
172.079,-392.825,-2.6971
173.252,-393.676,-2.62113
174.457,-394.552,-2.54302
175.593,-395.377,-2.46945
176.811,-396.261,-2.39055
178.016,-397.116,-2.3131
179.296,-397.796,-2.23704
180.75,-398.387,-2.15474
182.141,-398.949,-2.0761
183.558,-399.521,-1.99601
184.996,-400.101,-1.91474
186.385,-400.662,-1.83622
187.8,-401.234,-1.75624
189.314,-401.842,-1.67069
190.599,-402.228,-1.60031
192.101,-402.603,-1.51916
193.502,-402.951,-1.44351
194.967,-403.317,-1.36434
196.457,-403.688,-1.28385
197.977,-404.067,-1.20173
199.489,-404.443,-1.12009
201.012,-404.823,-1.03781
202.562,-405.209,-0.954095
204.059,-405.582,-0.882126
205.524,-405.947,-0.987185
207.087,-406.336,-1.24233
210.276,-407.131,-1.76283
211.928,-407.56,-2.0332
213.376,-408.03,-2.27428
214.976,-408.55,-2.54075
216.537,-409.057,-2.80071
218.106,-409.609,-3.06421
219.561,-410.227,-3.31463
221.024,-410.847,-3.56623
222.502,-411.474,-3.8205
223.984,-412.103,-4.07557
225.425,-412.715,-4.32346
226.927,-413.352,-4.58176
228.23,-413.904,-4.80591
229.557,-414.468,-5.0343
230.861,-415.021,-5.25857
232.235,-415.604,-5.49493
233.382,-416.09,-5.69231
234.868,-416.721,-5.94802
236.22,-417.294,-6.18048
237.412,-417.8,-6.38568
238.778,-418.38,-6.62062
239.975,-418.888,-6.8265
241.307,-419.453,-7.05565
242.527,-419.97,-7.26555
243.726,-420.479,-7.47181
244.968,-421.006,-7.68558
246.376,-421.604,-7.92782
247.625,-422.133,-8.14259
248.944,-422.693,-8.3695
250.192,-423.223,-8.58436
251.481,-423.769,-8.80595
252.673,-424.275,-9.01117
253.987,-424.832,-9.23711
255.254,-425.37,-9.45512
256.505,-425.901,-9.67033
257.768,-426.477,-9.89038
259.057,-427.243,-10.1278
260.278,-427.976,-10.3534
261.458,-428.667,-10.57
262.85,-429.247,-10.8091
264.213,-429.578,-11.0313
265.65,-429.883,-11.264
266.98,-430.165,-11.4793
268.346,-430.455,-11.6263
269.656,-430.734,-11.6286
270.931,-430.962,-11.6286
272.396,-431.055,-11.5429
273.569,-431.116,-11.4502
275.042,-431.193,-11.3576
276.381,-431.263,-11.2638
277.846,-431.34,-11.1612
279.139,-431.407,-11.0707
280.431,-431.374,-10.9802
281.716,-431.201,-10.8895
283.038,-431.015,-10.7962
284.472,-430.813,-10.6948
285.729,-430.636,-10.6061
287.181,-430.432,-10.5036
288.469,-430.251,-10.4126
289.733,-430.073,-10.3233
291.154,-429.873,-10.2229
292.562,-429.675,-10.1235
293.969,-429.477,-10.0241
295.412,-429.274,-9.92221
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
296.258,-429.155,-9.86246
